Asset Tag,Item Name,Model Name,Next Audit Date,PatTest_Result,Location
255,255,PAR 64,2026-11-08,Pass,4067
277,277,PAR 64,2026-11-08,Pass,4067
264,264,PAR 64,2026-11-08,Pass,4067
363,363,PAR 64,2026-11-08,Pass,4067
339,339,PAR 64,2026-11-08,Pass,4067
266,266,PAR 64,2026-11-08,Pass,4067
314,314,PAR 64,2026-11-08,Pass,4067
251,251,PAR 64,2026-11-08,Pass,4067
321,321,PAR 64,2026-11-08,Pass,4067
284,284,PAR 64,2026-11-08,Pass,4067
3443,3443,13A EXTENSION REEL,2026-18-08,Pass,4067
687,687,ETC SOURCE 4 ZOOM 25-50,2026-11-08,Pass,4067
3220,3220,ETC SOURCE 4 ZOOM 25-50,2026-11-08,Pass,4067
517,517,ETC SOURCE 4 ZOOM 15-30,2026-11-08,Pass,4067
247,247,PAR 64,2026-11-08,Pass,4067
308,308,PAR 64,2026-11-08,Pass,4067
514,514,ETC SOURCE 4 ZOOM 15-30,2026-11-08,Pass,4067
550,550,ETC SOURCE 4 - 19,2026-11-08,Pass,4067
947,947,ETC SOURCE 4 PAR,2026-11-08,Pass,4067
348,348,PAR 64,2026-11-08,Pass,4067
692,692,ETC SOURCE 4 ZOOM 25-50,2026-11-08,Pass,4067
279,279,PAR 64,2026-11-08,Pass,4067
256,256,PAR 64,2026-11-08,Pass,4067
342,342,PAR 64,2026-11-08,Pass,4067
258,258,PAR 64,2026-11-08,Pass,4067
346,346,PAR 64,2026-11-08,Pass,4067
283,283,PAR 64,2026-11-08,Pass,4067
238,238,PAR 64,2026-11-08,Pass,4067
269,269,PAR 64,2026-11-08,Pass,4067
263,263,PAR 64,2026-11-08,Pass,4067
329,329,PAR 64,2026-11-08,Pass,4067
334,334,PAR 64,2026-11-08,Pass,4067
259,259,PAR 64,2026-11-08,Pass,4067
248,248,PAR 64,2026-11-08,Pass,4067
262,262,PAR 64,2026-11-08,Pass,4067
246,246,PAR 64,2026-11-08,Pass,4067
271,271,PAR 64,2026-11-08,Pass,4067
2530,2530,16A > 32A ADAPTER,2026-11-08,Pass,4067
372,372,PAR 64,2026-12-08,Pass,4067
288,288,PAR 64,2026-12-08,Pass,4067
270,270,PAR 64,2026-12-08,Pass,4067
311,311,PAR 64,2026-12-08,Pass,4067
302,302,PAR 64,2026-12-08,Pass,4067
261,261,PAR 64,2026-12-08,Pass,4067
240,240,PAR 64,2026-12-08,Pass,4067
275,275,PAR 64,2026-12-08,Pass,4067
331,331,PAR 64,2026-17-12,Pass,4067
4403,4403,16A > POWERCON ADAPTER,2026-12-08,Pass,4067
4125,4125,16A > POWERCON ADAPTER,2026-12-08,Pass,4067
4759,4759,16A > POWERCON ADAPTER,2026-12-08,Pass,4067
5322,5322,16A > 13A ADAPTER,2026-12-08,Pass,4067
4154,4154,16A > POWERCON ADAPTER,2026-12-08,Pass,4067
5264,5264,16A > POWERCON ADAPTER,2026-12-08,Pass,4067
1515,1515,16A SPLITTER,2026-12-08,Pass,4067
1845,1845,16A SPLITTER,2026-12-08,Pass,4067
2606,2606,16A SPLITTER,2026-12-08,Pass,4067
3333,3333,16A SPLITTER,2026-12-08,Pass,4067
9020,9020,16A > TRUCON ADAPTER,2026-12-08,Pass,4067
4151,4151,16A > TRUCON ADAPTER,2026-12-08,Pass,4067
152,152,TRUCON EXTENSION - 1m,2026-12-08,Pass,4067
289,289,PAR 64,2026-12-08,Pass,4067
531,531,PAR 64,2026-12-08,Pass,4067
293,293,PAR 64,2026-12-08,Pass,4067
319,319,PAR 64,2026-12-08,Pass,4067
1589,1589,16A TRS - 10m,2026-12-08,Pass,4067
1721,1721,16A TRS - 10m,2026-12-08,Pass,4067
2439,2439,16A TRS - 5m,2026-12-08,Pass,4067
2596,2596,16A TRS - 5m,2026-12-08,Pass,4067
1833,1833,16A SPLITTER,2026-12-08,Pass,4067
4796,4796,16A TRS - 2m,2026-12-08,Pass,4067
1880,1880,16A TRS - 1m,2026-12-08,Pass,4067
345,345,PAR 64,2026-12-08,Pass,4067
532,532,PAR 64,2026-12-08,Pass,4067
273,273,PAR 64,2026-12-08,Pass,4067
315,315,PAR 64,2026-12-08,Pass,4067
974,974,PAR 56,2026-12-08,Pass,4067
350,350,PAR 64,2026-12-08,Pass,4067
305,305,PAR 64,2026-12-08,Pass,4067
292,292,PAR 64,2026-12-08,Pass,4067
330,330,PAR 64,2026-12-08,Pass,4067
323,323,PAR 64,2026-12-08,Pass,4067
320,320,PAR 64,2026-12-08,Pass,4067
353,353,PAR 64,2026-12-08,Pass,4067
975,975,PAR 56,2026-12-08,Pass,4067
291,291,PAR 64,2026-12-08,Pass,4067
286,286,PAR 64,2026-12-08,Pass,4067
242,242,PAR 64,2026-12-08,Pass,4067
300,300,PAR 64,2026-12-08,Pass,4067
322,322,PAR 64,2026-12-08,Pass,4067
282,282,PAR 64,2026-17-12,Pass,4067
254,254,PAR 64,2026-12-08,Pass,4067
354,354,PAR 64,2026-12-08,Pass,4067
267,267,PAR 64,2026-12-08,Pass,4067
972,972,PAR 56,2026-12-08,Pass,4067
276,276,PAR 64,2026-12-08,Pass,4067
328,328,PAR 64,2026-12-08,Pass,4067
296,296,PAR 64,2026-12-08,Pass,4067
336,336,PAR 64,2026-12-08,Pass,4067
347,347,PAR 64,2026-12-08,Pass,4067
976,976,PAR 56,2026-12-08,Pass,4067
281,281,PAR 64,2026-12-08,Pass,4067
2031,2031,16A TRS - 2m,2026-12-08,Pass,4067
1466,1466,16A TRS - 3m,2026-12-08,Pass,4067
1945,1945,16A TRS - 3m,2026-12-08,Pass,4067
1679,1679,16A TRS - 1m,2026-12-08,Pass,4067
1692,1692,16A TRS - 1m,2026-12-08,Pass,4067
1603,1603,16A TRS - 1m,2026-12-08,Pass,4067
1899,1899,16A TRS - 1m,2026-12-08,Pass,4067
2086,2086,16A TRS - 20m,2026-13-08,Pass,4067
1512,1512,16A TRS - 20m,2026-13-08,Pass,4067
2883,2883,16A TRS - 20m,2027-13-01,Pass,4067
260,260,PAR 64,2026-13-08,Pass,4067
344,344,PAR 64,2026-13-08,Pass,4067
335,335,PAR 64,2026-13-08,Pass,4067
295,295,PAR 64,2026-13-08,Pass,4067
301,301,PAR 64,2026-13-08,Pass,4067
257,257,PAR 64,2027-12-02,Pass,4067
313,313,PAR 64,2026-13-08,Pass,4067
306,306,PAR 64,2026-13-08,Pass,4067
356,356,PAR 64,2026-13-08,Pass,4067
297,297,PAR 64,2027-12-02,Pass,4067
312,312,PAR 64,2026-13-08,Pass,4067
285,285,PAR 64,2026-13-08,Pass,4067
252,252,PAR 64,2026-13-08,Pass,4067
4417,4417,16A > POWERCON ADAPTER,2026-13-08,Pass,4067
250,250,PAR 64,2026-13-08,Pass,4067
310,310,PAR 64,2026-13-08,Pass,4067
343,343,PAR 64,2026-13-08,Pass,4067
245,245,PAR 64,2026-13-08,Pass,4067
340,340,PAR 64,2026-13-08,Pass,4067
304,304,PAR 64,2026-13-08,Pass,4067
241,241,PAR 64,2026-13-08,Pass,4067
318,318,PAR 64,2026-13-08,Pass,4067
326,326,PAR 64,2026-13-08,Pass,4067
333,333,PAR 64,2026-13-08,Pass,4067
324,324,PAR 64,2026-13-08,Pass,4067
243,243,PAR 64,2026-13-08,Pass,4067
309,309,PAR 64,2026-13-08,Pass,4067
325,325,PAR 64,2026-13-08,Pass,4067
341,341,PAR 64,2026-13-08,Pass,4067
338,338,PAR 64,2026-13-08,Pass,4067
337,337,PAR 64,2026-13-08,Pass,4067
290,290,PAR 64,2026-13-08,Pass,4067
3951,3951,CCT SIL 15-32,2026-13-08,Pass,4068
973,973,PAR 56,2026-13-08,Pass,4067
948,948,ETC SOURCE 4 PAR,2026-13-08,Pass,4067
979,979,ETC SOURCE 4 PAR,2026-13-08,Pass,4067
984,984,ETC SOURCE 4 PAR,2026-13-08,Pass,4067
480,480,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
542,542,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
4890,4890,ETC COLORSOURCE SPOT V,2026-13-08,Pass,4067
594,594,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
558,558,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
983,983,ETC SOURCE 4 PAR,2026-13-08,Pass,4067
484,484,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
487,487,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
535,535,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
461,461,ETC SOURCE 4 - 19,2026-13-08,Pass,4067
476,476,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
352,352,PAR 64,2026-13-08,Pass,4067
463,463,ETC SOURCE 4 - 19,2026-13-08,Pass,4067
272,272,PAR 64,2026-13-08,Pass,4067
543,543,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
541,541,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
572,572,CCT STARLETTE 1K FRESNEL,2026-13-08,Pass,4068
500,500,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
502,502,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
458,458,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
2544,2544,16A > IEC ADAPTER,2026-13-08,Pass,4067
557,557,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
559,559,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
489,489,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
5266,5266,TRUCON EXTENSION - 1m,2026-13-08,Pass,4067
490,490,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
501,501,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
497,497,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
606,606,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
4972,4972,TRUCON EXTENSION - 1m,2026-13-08,Pass,4067
4970,4970,TRUCON EXTENSION - 1m,2026-13-08,Pass,4067
3125,3125,13A EXTENSION,2026-13-08,Pass,4067
482,482,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
475,475,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
548,548,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
486,486,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
493,493,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
481,481,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
494,494,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
488,488,ETC SOURCE 4 - 26,2026-13-08,Pass,4067
538,538,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
503,503,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
462,462,ETC SOURCE 4 - 19,2026-13-08,Pass,4067
358,358,ETC SOURCE 4 - 26,2027-12-02,Pass,4067
918,918,ETC SOURCE 4 - 19,2026-13-08,Pass,4067
545,545,ETC SOURCE 4 - 19,2026-13-08,Pass,4067
982,982,ETC SOURCE 4 PAR,2026-13-08,Pass,4067
764,764,ETC SOURCE 4 PAR,2026-13-08,Pass,4067
980,980,ETC SOURCE 4 PAR,2026-13-08,Pass,4067
782,782,THOMAS FLOOD 1 CELL,2026-14-08,Pass,4067
785,785,THOMAS FLOOD 1 CELL,2026-13-08,Pass,4067
777,777,THOMAS FLOOD 1 CELL,2026-13-08,Pass,4067
776,776,THOMAS FLOOD 1 CELL,2026-13-08,Pass,4067
960,960,THOMAS FLOOD 1 CELL,2026-14-08,Pass,4067
516,516,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
511,511,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
520,520,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
522,522,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
3254,3254,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
519,519,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
515,515,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
509,509,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
3219,3219,ETC SOURCE 4 ZOOM 25-50,2026-13-08,Pass,4067
783,783,THOMAS FLOOD 1 CELL,2026-13-08,Pass,4067
684,684,ETC SOURCE 4 ZOOM 25-50,2026-13-08,Pass,4067
959,959,THOMAS FLOOD 1 CELL,2026-13-08,Pass,4067
472,472,ETC SOURCE 4 ZOOM 25-50,2026-13-08,Pass,4067
492,492,ETC SOURCE 4 - 36,2026-13-08,Pass,4067
510,510,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
513,513,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
523,523,ETC SOURCE 4 ZOOM 15-30,2026-13-08,Pass,4067
471,471,ETC SOURCE 4 ZOOM 25-50,2026-13-08,Pass,4067
361,361,ETC SOURCE 4 ZOOM 25-50,2026-13-08,Pass,4067
945,945,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
926,926,THOMAS FLOOD 1 CELL,2026-14-08,Pass,4067
521,521,ETC SOURCE 4 ZOOM 15-30,2026-14-08,Pass,4067
360,360,ETC SOURCE 4 ZOOM 25-50,2026-14-08,Pass,4067
362,362,ETC SOURCE 4 ZOOM 25-50,2026-14-08,Pass,4067
977,977,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
946,946,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
512,512,ETC SOURCE 4 ZOOM 15-30,2026-14-08,Pass,4067
508,508,ETC SOURCE 4 ZOOM 15-30,2026-14-08,Pass,4067
524,524,ETC SOURCE 4 ZOOM 15-30,2026-14-08,Pass,4067
686,686,ETC SOURCE 4 ZOOM 25-50,2026-14-08,Pass,4067
3214,3214,ETC SOURCE 4 ZOOM 25-50,2026-14-08,Pass,4067
981,981,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
978,978,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
765,765,ETC SOURCE 4 PAR,2026-14-08,Pass,4067
611,611,STRAND PATT 743,2026-14-08,Pass,4067
5012,5012,ETC SOURCE 4 - 10,2026-14-08,Pass,4067
916,916,ETC SOURCE 4 - 10,2026-14-08,Pass,4067
560,560,STRAND PATT 743,2026-14-08,Pass,4067
585,585,STRAND PATT 743,2026-14-08,Pass,4067
0,0,UnknownMONTY EX DMX,2027-16-01,Pass,0
609,609,STRAND PATT 743,2026-14-08,Pass,4067
586,586,STRAND PATT 743,2026-14-08,Pass,4067
704,704,STRAND PATT 743,2026-14-08,Pass,4067
613,613,STRAND PATT 743,2026-14-08,Pass,4067
563,563,STRAND PATT 743,2026-14-08,Pass,4067
562,562,STRAND PATT 743,2026-14-08,Pass,4067
702,702,STRAND PATT 743,2026-14-08,Pass,4067
518,518,ETC SOURCE 4 ZOOM 15-30,2026-14-08,Pass,4067
583,583,STRAND PATT 743,2026-14-08,Pass,4067
622,622,STRAND PATT 123,2026-14-08,Pass,4067
5011,5011,ETC SOURCE 4 - 36,2026-14-08,Pass,4067
505,505,ETC SOURCE 4 - 10,2026-14-08,Pass,4067
556,556,ETC SOURCE 4 - 10,2026-14-08,Pass,4067
359,359,ETC SOURCE 4 ZOOM 25-50,2026-14-08,Pass,4067
4930,4930,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
4917,4917,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
4926,4926,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
621,621,STRAND PATT 123,2026-14-08,Pass,4067
696,696,STRAND PATT 23,2026-14-08,Pass,4067
623,623,STRAND PATT 123,2026-14-08,Pass,4067
700,700,STRAND PATT 23,2026-14-08,Pass,4067
618,618,STRAND PATT 123,2026-14-08,Pass,4067
620,620,STRAND PATT 123,2026-14-08,Pass,4067
587,587,STRAND PATT 243,2026-14-08,Pass,4067
705,705,STRAND PATT 123,2026-14-08,Pass,4067
616,616,STRAND PATT 123,2026-14-08,Pass,4067
699,699,STRAND PATT 23,2026-14-08,Pass,4067
506,506,STRAND BEAM LIGHT,2026-14-08,Pass,4067
863,863,STRAND PATT 23,2026-14-08,Pass,4067
593,593,STRAND PATT 243,2026-14-08,Pass,4067
592,592,STRAND PATT 243,2026-14-08,Pass,4067
697,697,STRAND PATT 23,2026-14-08,Pass,4067
595,595,STRAND PATT 243,2026-14-08,Pass,4067
591,591,STRAND PATT 243,2026-14-08,Pass,4067
507,507,STRAND BEAM LIGHT,2026-14-08,Pass,4067
588,588,STRAND PATT 243,2026-14-08,Pass,4067
619,619,STRAND PATT 123,2026-14-08,Pass,4067
589,589,STRAND PATT 243,2026-14-08,Pass,4067
617,617,STRAND PATT 123,2026-14-08,Pass,4067
466,466,ETC SOURCE 4 - 19,2026-14-08,Pass,4067
4916,4916,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
4887,4887,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
4937,4937,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
4924,4924,ETC COLORSOURCE SPOT V,2026-14-08,Pass,4067
756,756,Unknownpar bar,2026-14-08,Pass,4067
4919,4919,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4938,4938,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4922,4922,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
4915,4915,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
3551,3551,500W SUN FLOOD,2026-15-08,Pass,4067
4931,4931,ETC COLORSOURCE SPOT V,2026-15-08,Pass,4067
